mm_id,tag_id,mm_kind,pole,x,y
1,0,1,2,-31643.233,-127183.034
2,0,1,2,-31641.321,-127192.849
3,0,1,2,-31639.408,-127202.665
4,0,1,2,-31637.496,-127212.48
5,0,1,2,-31635.583,-127222.295
6,0,1,2,-31633.671,-127232.111
7,0,1,2,-31631.759,-127241.926
8,0,1,2,-31629.846,-127251.742
9,0,1,2,-31627.934,-127261.557
10,0,1,2,-31626.021,-127271.373
11,0,1,2,-31624.109,-127281.188
101,0,1,2,-31577.092,-127344.756
102,0,1,2,-31575.128,-127344.378
103,0,1,2,-31573.164,-127344
104,0,1,2,-31571.2,-127343.622
105,0,1,2,-31569.236,-127343.243
106,0,1,2,-31567.272,-127342.865
107,0,1,2,-31565.308,-127342.487
108,0,1,2,-31563.344,-127342.109
109,0,1,2,-31561.38,-127341.73
110,0,1,2,-31559.416,-127341.352
111,0,1,2,-31557.453,-127340.974
112,0,1,2,-31555.489,-127340.596
113,0,1,2,-31553.525,-127340.218
114,0,1,2,-31551.561,-127339.839
115,0,1,2,-31549.597,-127339.461
116,0,1,2,-31547.633,-127339.083
117,0,1,2,-31545.669,-127338.705
118,0,1,2,-31543.705,-127338.327
119,0,1,2,-31541.741,-127337.948
120,0,1,2,-31539.777,-127337.57
121,0,1,2,-31537.813,-127337.192
122,0,1,2,-31535.913,-127336.592
123,0,1,2,-31534.067,-127335.809
124,0,1,2,-31532.325,-127334.811
125,0,1,2,-31530.582,-127333.813
126,0,1,2,-31528.839,-127332.816
127,0,1,2,-31527.096,-127331.818
128,0,1,2,-31525.251,-127331.035
129,0,1,2,-31523.35,-127330.435
130,0,1,2,-31521.386,-127330.057
131,0,1,2,-31519.422,-127329.678
132,0,1,2,-31517.459,-127329.3
133,0,1,2,-31515.495,-127328.922
134,0,1,2,-31513.531,-127328.544
