mm_id,tag_id,mm_kind,pole,x,y
1,0,1,2,16588.528,96773.563
2,0,1,2,16588.897,96771.598
3,0,1,2,16589.265,96769.633
4,0,1,2,16589.634,96767.667
5,0,1,2,16590.003,96765.702
6,0,1,2,16590.371,96763.737
7,0,1,2,16590.74,96761.772
8,0,1,2,16591.108,96759.806
9,0,1,2,16591.477,96757.841
10,0,1,2,16591.846,96755.876
11,0,1,2,16592.214,96753.91
12,0,1,2,16592.583,96751.945
13,0,1,2,16592.951,96749.98
14,0,1,2,16593.32,96748.015
15,0,1,2,16593.689,96746.049
16,0,1,2,16594.057,96744.084
17,0,1,2,16594.426,96742.119
18,0,1,2,16594.794,96740.153
19,0,1,2,16595.163,96738.188
20,0,1,2,16595.532,96736.223
21,0,1,2,16595.9,96734.258
22,0,1,2,16596.269,96732.292
23,0,1,2,16596.637,96730.327
24,0,1,2,16597.006,96728.362
25,0,1,2,16597.375,96726.396
26,0,1,2,16597.743,96724.431
27,0,1,2,16598.112,96722.466
28,0,1,2,16598.48,96720.5
29,0,1,2,16598.849,96718.535
30,0,1,2,16599.217,96716.57
31,0,1,2,16599.586,96714.605
32,0,1,2,16599.955,96712.639
33,0,1,2,16600.323,96710.674
34,0,1,2,16600.692,96708.709
35,0,1,2,16601.06,96706.743
36,0,1,2,16601.429,96704.778
37,0,1,2,16601.798,96702.813
38,0,1,2,16602.166,96700.848
39,0,1,2,16602.535,96698.882
40,0,1,2,16602.903,96696.917
41,0,1,2,16603.272,96694.952
42,0,1,2,16603.641,96692.986
43,0,1,2,16604.009,96691.021
44,0,1,2,16604.378,96689.056
45,0,1,2,16604.746,96687.091
46,0,1,2,16605.115,96685.125
47,0,1,2,16605.484,96683.16
48,0,1,2,16605.852,96681.195
49,0,1,2,16606.221,96679.229
50,0,1,2,16606.589,96677.264
51,0,1,2,16606.958,96675.299
52,0,1,2,16607.327,96673.333
53,0,1,2,16607.695,96671.368
54,0,1,2,16608.064,96669.403
55,0,1,2,16608.432,96667.438
56,0,1,2,16608.801,96665.472
57,0,1,2,16609.17,96663.507
58,0,1,2,16609.538,96661.542
59,0,1,2,16609.907,96659.576
60,0,1,2,16610.275,96657.611
61,0,1,2,16610.644,96655.646
62,0,1,2,16611.013,96653.681
63,0,1,2,16611.381,96651.715
64,0,1,2,16611.75,96649.75
65,0,1,2,16612.118,96647.785
66,0,1,2,16612.487,96645.819
67,0,1,2,16612.856,96643.854
68,0,1,2,16613.224,96641.889
69,0,1,2,16613.593,96639.923
70,0,1,2,16613.961,96637.958
71,0,1,2,16614.33,96635.993
72,0,1,2,16614.699,96634.028
73,0,1,2,16615.067,96632.062
74,0,1,2,16615.436,96630.097
75,0,1,2,16615.804,96628.132
76,0,1,2,16616.173,96626.166
77,0,1,2,16616.541,96624.201
78,0,1,2,16616.91,96622.236
79,0,1,2,16617.279,96620.271
80,0,1,2,16617.647,96618.305
81,0,1,2,16618.016,96616.34
82,0,1,2,16618.384,96614.375
83,0,1,2,16618.753,96612.409
84,0,1,2,16619.122,96610.444
85,0,1,2,16619.49,96608.479
86,0,1,2,16619.859,96606.513
87,0,1,2,16620.227,96604.548
88,0,1,2,16620.596,96602.583
89,0,1,2,16620.965,96600.618
90,0,1,2,16621.333,96598.652
91,0,1,2,16621.702,96596.687
92,0,1,2,16622.07,96594.722
93,0,1,2,16622.439,96592.756
94,0,1,2,16622.808,96590.791
95,0,1,2,16623.176,96588.826
96,0,1,2,16623.545,96586.861
97,0,1,2,16623.914,96584.895
98,0,1,2,16624.282,96582.93
99,0,1,2,16624.651,96580.965
100,0,1,2,16625.019,96578.999
101,0,1,2,16625.388,96577.034
102,0,1,2,16625.756,96575.069
103,0,1,2,16626.125,96573.104
104,0,1,2,16626.494,96571.138
105,0,1,2,16626.862,96569.173
106,0,1,2,16627.231,96567.208
107,0,1,2,16627.599,96565.242
108,0,1,2,16627.968,96563.277
109,0,1,2,16628.337,96561.312
110,0,1,2,16628.705,96559.346
111,0,1,2,16629.074,96557.381
112,0,1,2,16629.442,96555.416
113,0,1,2,16629.811,96553.451
114,0,1,2,16630.18,96551.485
115,0,1,2,16630.548,96549.52
116,0,1,2,16630.917,96547.555
117,0,1,2,16631.285,96545.589
118,0,1,2,16631.654,96543.624
119,0,1,2,16632.023,96541.659
120,0,1,2,16632.391,96539.694
121,0,1,2,16632.76,96537.728
122,0,1,2,16633.128,96535.763
123,0,1,2,16633.497,96533.798
124,0,1,2,16633.866,96531.832
125,0,1,2,16634.234,96529.867
126,0,1,2,16634.603,96527.902
127,0,1,2,16634.971,96525.937
128,0,1,2,16635.34,96523.971
129,0,1,2,16635.709,96522.006
130,0,1,2,16636.077,96520.041
131,0,1,2,16636.446,96518.075
132,0,1,2,16636.814,96516.11
133,0,1,2,16637.183,96514.145
134,0,1,2,16637.552,96512.179
135,0,1,2,16637.92,96510.214
136,0,1,2,16638.289,96508.249
137,0,1,2,16638.657,96506.284
138,0,1,2,16639.026,96504.318
139,0,1,2,16639.395,96502.353
140,0,1,2,16639.763,96500.388
141,0,1,2,16640.132,96498.422
142,0,1,2,16640.5,96496.457
143,0,1,2,16640.869,96494.492
144,0,1,2,16641.238,96492.527
145,0,1,2,16641.606,96490.561
146,0,1,2,16641.975,96488.596
147,0,1,2,16642.343,96486.631
148,0,1,2,16642.712,96484.665
149,0,1,2,16643.081,96482.7
150,0,1,2,16643.449,96480.735
151,0,1,2,16643.818,96478.77
152,0,1,2,16644.186,96476.804
153,0,1,2,16644.555,96474.839
154,0,1,2,16644.924,96472.874
155,0,1,2,16645.292,96470.908
156,0,1,2,16645.661,96468.943
157,0,1,2,16646.029,96466.978
158,0,1,2,16646.398,96465.012
159,0,1,2,16646.766,96463.047
160,0,1,2,16647.135,96461.082
161,0,1,2,16647.504,96459.117
162,0,1,2,16647.872,96457.151
163,0,1,2,16648.241,96455.186
164,0,1,2,16648.609,96453.221
165,0,1,2,16648.978,96451.255
166,0,1,2,16649.347,96449.29
167,0,1,2,16649.715,96447.325
168,0,1,2,16650.084,96445.36
169,0,1,2,16650.452,96443.394
170,0,1,2,16650.821,96441.429
171,0,1,2,16651.19,96439.464
172,0,1,2,16651.558,96437.498
173,0,1,2,16651.927,96435.533
174,0,1,2,16652.295,96433.568
175,0,1,2,16652.664,96431.602
176,0,1,2,16653.033,96429.637
177,0,1,2,16653.401,96427.672
178,0,1,2,16653.77,96425.707
179,0,1,2,16654.138,96423.741
180,0,1,2,16654.507,96421.776
181,0,1,2,16654.876,96419.811
182,0,1,2,16655.244,96417.845
183,0,1,2,16655.613,96415.88
184,0,1,2,16655.981,96413.915
185,0,1,2,16656.35,96411.949
186,0,1,2,16656.719,96409.984
187,0,1,2,16657.087,96408.019
188,0,1,2,16657.456,96406.054
189,0,1,2,16657.824,96404.088
190,0,1,2,16658.193,96402.123
191,0,1,2,16658.562,96400.158
192,0,1,2,16658.93,96398.192
193,0,1,2,16659.299,96396.227
194,0,1,2,16659.667,96394.262
195,0,1,2,16660.036,96392.297
196,0,1,2,16660.405,96390.331
197,0,1,2,16660.773,96388.366
198,0,1,2,16661.142,96386.401
199,0,1,2,16661.51,96384.435
200,0,1,2,16661.879,96382.47
201,0,1,2,16662.248,96380.505
202,0,1,2,16662.616,96378.54
203,0,1,2,16662.985,96376.574
204,0,1,2,16663.353,96374.609
205,0,1,2,16663.722,96372.644
206,0,1,2,16664.091,96370.678
207,0,1,2,16664.459,96368.713
208,0,1,2,16664.828,96366.748
209,0,1,2,16665.196,96364.783
210,0,1,2,16665.565,96362.817
211,0,1,2,16665.934,96360.852
212,0,1,2,16666.302,96358.887
213,0,1,2,16666.671,96356.921
214,0,1,2,16667.039,96354.956
215,0,1,2,16667.408,96352.991
216,0,1,2,16667.777,96351.025
217,0,1,2,16668.145,96349.06
218,0,1,2,16668.514,96347.095
219,0,1,2,16668.882,96345.13
220,0,1,2,16669.251,96343.164
221,0,1,2,16669.62,96341.199
222,0,1,2,16669.988,96339.234
223,0,1,2,16670.357,96337.268
224,0,1,2,16670.725,96335.303
225,0,1,2,16671.094,96333.338
226,0,1,2,16671.463,96331.373
227,0,1,2,16671.831,96329.407
228,0,1,2,16672.2,96327.442
229,0,1,2,16672.568,96325.477
230,0,1,2,16672.937,96323.511
231,0,1,2,16673.306,96321.546
232,0,1,2,16673.674,96319.581
233,0,1,2,16674.043,96317.616
234,0,1,2,16674.411,96315.65
235,0,1,2,16674.78,96313.685
236,0,1,2,16675.149,96311.72
237,0,1,2,16675.517,96309.754
238,0,1,2,16675.886,96307.789
239,0,1,2,16676.254,96305.824
240,0,1,2,16676.623,96303.858
241,0,1,2,16676.992,96301.893
242,0,1,2,16677.36,96299.928
243,0,1,2,16677.729,96297.963
244,0,1,2,16678.097,96295.997
245,0,1,2,16678.466,96294.032
246,0,1,2,16678.835,96292.067
247,0,1,2,16679.203,96290.101
248,0,1,2,16679.572,96288.136
249,0,1,2,16679.94,96286.171
250,0,1,2,16680.309,96284.206
251,0,1,2,16680.677,96282.24
252,0,1,2,16681.046,96280.275
253,0,1,2,16681.415,96278.31
254,0,1,2,16681.783,96276.344
255,0,1,2,16682.152,96274.379
256,0,1,2,16682.52,96272.414
257,0,1,2,16682.889,96270.449
258,0,1,2,16683.258,96268.483
