mm_id,tag_id,mm_kind,pole,x,y
1,0,1,2,16588.528,96773.563
2,0,1,2,16588.712,96772.581
3,0,1,2,16588.897,96771.598
4,0,1,2,16589.081,96770.615
5,0,1,2,16589.265,96769.633
6,0,1,2,16589.45,96768.65
7,0,1,2,16589.634,96767.667
8,0,1,2,16589.818,96766.685
9,0,1,2,16590.003,96765.702
10,0,1,2,16590.187,96764.72
11,0,1,2,16590.371,96763.737
12,0,1,2,16590.555,96762.754
13,0,1,2,16590.74,96761.772
14,0,1,2,16590.924,96760.789
15,0,1,2,16591.108,96759.806
16,0,1,2,16591.293,96758.824
17,0,1,2,16591.477,96757.841
18,0,1,2,16591.661,96756.858
19,0,1,2,16591.846,96755.876
20,0,1,2,16592.03,96754.893
21,0,1,2,16592.214,96753.91
22,0,1,2,16592.398,96752.928
23,0,1,2,16592.583,96751.945
24,0,1,2,16592.767,96750.963
25,0,1,2,16592.951,96749.98
26,0,1,2,16593.136,96748.997
27,0,1,2,16593.32,96748.015
28,0,1,2,16593.504,96747.032
29,0,1,2,16593.689,96746.049
30,0,1,2,16593.873,96745.067
31,0,1,2,16594.057,96744.084
32,0,1,2,16594.241,96743.101
33,0,1,2,16594.426,96742.119
34,0,1,2,16594.61,96741.136
35,0,1,2,16594.794,96740.153
36,0,1,2,16594.979,96739.171
37,0,1,2,16595.163,96738.188
38,0,1,2,16595.347,96737.205
39,0,1,2,16595.532,96736.223
40,0,1,2,16595.716,96735.24
41,0,1,2,16595.9,96734.258
42,0,1,2,16596.084,96733.275
43,0,1,2,16596.269,96732.292
44,0,1,2,16596.453,96731.31
45,0,1,2,16596.637,96730.327
46,0,1,2,16596.822,96729.344
47,0,1,2,16597.006,96728.362
48,0,1,2,16597.19,96727.379
49,0,1,2,16597.375,96726.396
50,0,1,2,16597.559,96725.414
51,0,1,2,16597.743,96724.431
52,0,1,2,16597.927,96723.448
53,0,1,2,16598.112,96722.466
54,0,1,2,16598.296,96721.483
55,0,1,2,16598.48,96720.5
56,0,1,2,16598.665,96719.518
57,0,1,2,16598.849,96718.535
58,0,1,2,16599.033,96717.553
59,0,1,2,16599.217,96716.57
60,0,1,2,16599.402,96715.587
61,0,1,2,16599.586,96714.605
62,0,1,2,16599.77,96713.622
63,0,1,2,16599.955,96712.639
64,0,1,2,16600.139,96711.657
65,0,1,2,16600.323,96710.674
