mm_id,tag_id,mm_kind,pole,x,y
1,0,1,1,84040.119003,263.187697
2,0,1,2,84041.039591,264.963407
3,0,1,1,84041.959179,266.739095
4,0,1,2,84042.879746,268.515805
5,0,1,1,84043.800334,270.291515
6,0,1,2,84044.719922,272.067203
7,0,1,1,84045.640489,273.843913
8,0,1,2,84046.560077,275.619601
9,0,1,1,84047.480665,277.395311
10,0,1,2,84048.401253,279.171021
11,0,1,1,84049.32082,280.947709
12,0,1,2,84050.241408,282.72342
13,0,1,1,84051.160996,284.499108
14,0,1,2,84052.081562,286.275818
15,0,1,1,84053.002151,288.051528
16,0,1,2,84053.921739,289.827216
17,0,1,1,84054.842305,291.603926
18,0,1,2,84055.762893,293.379637
19,0,1,1,84056.682481,295.155325
20,0,1,2,84057.603069,296.931035
21,0,1,1,84058.522636,298.707724
22,0,1,2,84059.443224,300.483434
23,0,1,1,84060.363812,302.259144
24,0,1,2,84061.283378,304.035832
25,0,1,1,84062.203966,305.811543
26,0,1,2,84063.123554,307.587231
27,0,1,1,84064.037034,309.367788
28,0,1,2,84064.913126,311.165536
29,0,1,1,84065.748785,312.982408
30,0,1,2,84066.544014,314.818405
31,0,1,1,84067.297877,316.670505
32,0,1,2,84068.011351,318.53973
33,0,1,1,84068.682482,320.424037
34,0,1,2,84069.31129,322.322426
35,0,1,1,84069.897799,324.233896
36,0,1,2,84070.441985,326.159448
37,0,1,1,84070.943936,328.095083
38,0,1,2,84071.401608,330.042756
39,0,1,1,84071.816068,331.999489
40,0,1,2,84072.187337,333.964283
41,0,1,1,84072.515393,335.938137
42,0,1,2,84072.798301,337.918008
43,0,1,1,84073.040062,339.903985
44,0,1,2,84073.269803,341.890699
45,0,1,1,84073.499543,343.877413
46,0,1,2,84073.730283,345.864149
47,0,1,1,84073.960024,347.850863
48,0,1,2,84074.189742,349.838577
49,0,1,1,84074.420482,351.825313
50,0,1,2,84074.650223,353.812027
51,0,1,1,84074.879963,355.798741
52,0,1,2,84075.110681,357.786477
53,0,1,1,84075.340422,359.773191
54,0,1,2,84075.570162,361.759905
55,0,1,1,84075.800902,363.746641
56,0,1,2,84076.03062,365.734355
57,0,1,1,84076.261361,367.721091
58,0,1,2,84076.491101,369.707806
59,0,1,1,84076.720841,371.69452
60,0,1,2,84076.951581,373.681256
61,0,1,1,84077.181299,375.66897
62,0,1,2,84077.411039,377.655684
63,0,1,1,84077.641779,379.64242
64,0,1,2,84077.871519,381.629134
65,0,1,1,84078.101238,383.616848
66,0,1,2,84078.331977,385.603584
67,0,1,1,84078.561717,387.590299
68,0,1,2,84078.791457,389.577013
69,0,1,1,84079.022175,391.564749
70,0,1,2,84079.251915,393.551463
71,0,1,1,84079.481655,395.538177
72,0,1,2,84079.712395,397.524913
73,0,1,1,84079.942135,399.511627
74,0,1,2,84080.172853,401.499363
75,0,1,1,84080.402593,403.486078
76,0,1,2,84080.632333,405.472792
77,0,1,1,84080.835988,407.462938
78,0,1,2,84081.000562,409.456233
79,0,1,1,84081.125052,411.452655
80,0,1,2,84081.209483,413.451203
81,0,1,1,84081.253874,415.450879
82,0,1,2,84081.258249,417.450681
83,0,1,1,84081.222606,419.450611
84,0,1,2,84081.146969,421.449667
85,0,1,1,84081.050355,423.447266
86,0,1,2,84080.954742,425.444886
87,0,1,1,84080.858107,427.443485
88,0,1,2,84080.762494,429.441105
89,0,1,1,84080.665881,431.438703
90,0,1,2,84080.570245,433.437324
91,0,1,1,84080.472632,435.4349
92,0,1,2,84080.343045,437.430779
93,0,1,1,84080.169506,439.423698
94,0,1,2,84079.951061,441.411635
95,0,1,1,84079.688708,443.394612
96,0,1,2,84079.382469,445.37163
97,0,1,1,84079.031389,447.340667
98,0,1,2,84078.638467,449.301789
99,0,1,1,84078.200746,451.252929
100,0,1,2,84077.720205,453.195132
101,0,1,1,84077.19591,455.125377
102,0,1,2,84076.62986,457.043706
103,0,1,1,84076.021077,458.949099
104,0,1,2,84075.369583,460.840554
105,0,1,1,84074.677421,462.716117
106,0,1,2,84073.94257,464.576744
107,0,1,1,84073.167073,466.420477
108,0,1,2,84072.350952,468.246318
109,0,1,1,84071.494208,470.054266
110,0,1,2,84070.596882,471.842323
111,0,1,1,84069.660998,473.60953
112,0,1,2,84068.685555,475.355867
113,0,1,1,84067.671576,477.080356
114,0,1,2,84066.620102,478.781018
115,0,1,1,84065.530114,480.458832
116,0,1,2,84064.403654,482.111841
117,0,1,1,84063.240744,483.739046
118,0,1,2,84062.042383,485.340469
119,0,1,1,84060.808617,486.914109
120,0,1,2,84059.539422,488.460967
121,0,1,1,84058.236864,489.978087
122,0,1,2,84056.900921,491.466468
123,0,1,1,84055.531616,492.92511
124,0,1,2,84054.130968,494.353059
125,0,1,1,84052.698002,495.74929
126,0,1,2,84051.235737,497.112871
127,0,1,1,84049.753911,498.456018
128,0,1,2,84048.271085,499.799144
129,0,1,1,84046.789238,501.14329
130,0,1,2,84045.307412,502.486437
131,0,1,1,84043.825586,503.829584
132,0,1,2,84042.34276,505.172709
133,0,1,1,84040.860935,506.515856
134,0,1,2,84039.377153,507.85696
135,0,1,1,84037.887502,509.191933
136,0,1,2,84036.392006,510.519776
137,0,1,1,84034.88575,511.836381
138,0,1,2,84033.367802,513.138725
139,0,1,1,84031.835226,514.423744
140,0,1,2,84030.285089,515.688373
141,0,1,1,84028.715478,516.928568
142,0,1,2,84027.125437,518.142309
143,0,1,1,84025.512076,519.324529
144,0,1,2,84023.874459,520.472208
145,0,1,1,84022.209676,521.58128
146,0,1,2,84020.51879,522.648769
147,0,1,1,84018.797912,523.669586
148,0,1,2,84017.049128,524.639777
149,0,1,1,84015.271526,525.55532
150,0,1,2,84013.463194,526.412172
151,0,1,1,84011.628175,527.20842
152,0,1,2,84009.768512,527.942108
153,0,1,1,84007.884183,528.614237
154,0,1,2,84005.980144,529.226914
155,0,1,1,84004.058374,529.781184
156,0,1,2,84002.12174,530.283111
157,0,1,1,84000.17322,530.733761
158,0,1,2,83998.214705,531.138176
159,0,1,1,83996.247131,531.499379
160,0,1,2,83994.273408,531.821433
161,0,1,1,83992.293449,532.108339
162,0,1,2,83990.30919,532.36314
163,0,1,1,83988.32252,532.590879
164,0,1,2,83986.332396,532.793534
165,0,1,1,83984.340687,532.977147
166,0,1,2,83982.347328,533.144718
167,0,1,1,83980.353252,533.29927
168,0,1,2,83978.358351,533.4458
169,0,1,1,83976.363537,533.588331
170,0,1,2,83974.367745,533.72984
171,0,1,1,83972.372932,533.872371
172,0,1,2,83970.37814,534.013902
173,0,1,1,83968.382348,534.155412
174,0,1,2,83966.387556,534.296943
175,0,1,1,83964.391765,534.438452
176,0,1,2,83962.396951,534.580983
177,0,1,1,83960.402159,534.722514
178,0,1,2,83958.406368,534.864023
179,0,1,1,83956.411576,535.005554
180,0,1,2,83954.415784,535.147064
181,0,1,1,83952.420993,535.288595
182,0,1,2,83950.425179,535.431104
183,0,1,1,83948.430388,535.572635
184,0,1,2,83946.435596,535.714166
185,0,1,1,83944.439805,535.855675
186,0,1,2,83942.445013,535.997206
187,0,1,1,83940.449221,536.138715
188,0,1,2,83938.454408,536.281246
189,0,1,1,83936.459617,536.422777
190,0,1,2,83934.463825,536.564287
191,0,1,1,83932.469034,536.705818
192,0,1,2,83930.473242,536.847327
193,0,1,1,83928.478429,536.989858
194,0,1,2,83926.483638,537.131389
195,0,1,1,83924.48789,537.270898
196,0,1,2,83922.49223,537.406408
197,0,1,1,83920.495788,537.531897
198,0,1,2,83918.498651,537.643367
199,0,1,1,83916.500864,537.738816
200,0,1,2,83914.502536,537.813246
201,0,1,1,83912.502753,537.862636
202,0,1,2,83910.502625,537.882007
203,0,1,1,83908.502195,537.869361
204,0,1,2,83906.502595,537.818719
205,0,1,1,83904.504867,537.728104
206,0,1,2,83902.509121,537.592517
207,0,1,1,83900.517422,537.409001
208,0,1,2,83898.53088,537.172578
209,0,1,1,83896.55258,536.879316
